featureId,featurename,project,category,sub_category,data_type,description,status,source,owner
2030,RealEstateCard30dWStatNavCTR,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2031,RealEstateCard7dWStatNavCTR,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2032,SdCardMaskLocalNewsCrslYesButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2033,SdCardMaskLocalNewsCrslViewCount30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2035,SdCardMaskLocalNewsCrslDismissButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2036,SdCardMaskAutosYesButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2038,SdCardMaskAutosViewCount30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2043,SdCardMaskAutosViewCount7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2044,SdCardMaskLocalNewsCrslNoButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2045,SdCardMaskLocalNewsCrslDismissButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2046,SdCardMaskLocalNewsCrslViewCount7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2047,SdCardMaskAutosNoButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2049,SdCardMaskLocalNewsCrslYesButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2050,SdCardMaskAutosYesButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
